Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2023-11-15 14:51:19Z : PB = 204308480 : In   : -------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2023-11-15 14:52:45Z : PB = 429178880 : Out  : --------- StyleCop.StyleCopThread.DoWork()
2023-11-15 14:52:45Z : PB = 429178880 : Out  : -------- StyleCop.StyleCopCore.RunWorkerThreads()=True
2023-11-15 14:52:45Z : PB = 429178880 : Out  : ------- StyleCop.StyleCopCore.Analyze()
2023-11-15 14:52:45Z : PB = 429178880 : Out  : ------ StyleCop.StyleCopCore.FullAnalyze()
2023-11-15 14:52:45Z : PB = 429178880 : In   : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete(sender=[AnalysisThread], e=[EventArgs])
2023-11-15 14:52:45Z : PB = 429178880 : In   : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain(sender=[AnalysisThread], e=[EventArgs])
2023-11-15 14:52:47Z : PB = 429273088 : Out  : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain()
2023-11-15 14:52:47Z : PB = 429273088 : Out  : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete()
2023-11-15 14:52:47Z : PB = 429273088 : Out  : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2023-11-15 14:53:11Z : PB = 331063296 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2023-11-15 14:53:11Z : PB = 331407360 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2023-11-15 14:53:11Z : PB = 331407360 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2023-11-15 14:53:11Z : PB = 331407360 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2023-11-15 14:53:11Z : PB = 331407360 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2023-11-15 14:53:11Z : PB = 331411456 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2023-11-15 14:53:11Z : PB = 331411456 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2023-11-15 14:53:11Z : PB = 331411456 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:11Z : PB = 331411456 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:11Z : PB = 331411456 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:11Z : PB = 331411456 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:11Z : PB = 331411456 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:11Z : PB = 335130624 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:11Z : PB = 335261696 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:11Z : PB = 335327232 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:11Z : PB = 335392768 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:11Z : PB = 335523840 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:11Z : PB = 335659008 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:11Z : PB = 335659008 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:11Z : PB = 335659008 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:11Z : PB = 337428480 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:11Z : PB = 337428480 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:11Z : PB = 337428480 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:11Z : PB = 337428480 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:11Z : PB = 337428480 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:11Z : PB = 337432576 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:11Z : PB = 337432576 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:11Z : PB = 337432576 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:11Z : PB = 342487040 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:11Z : PB = 342487040 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:11Z : PB = 342487040 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:11Z : PB = 342487040 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:11Z : PB = 342487040 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:11Z : PB = 342880256 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:11Z : PB = 342880256 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:11Z : PB = 342880256 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:11Z : PB = 346071040 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:11Z : PB = 346071040 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:11Z : PB = 346071040 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:11Z : PB = 346071040 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:11Z : PB = 346071040 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:11Z : PB = 346071040 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:11Z : PB = 346071040 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:11Z : PB = 346071040 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:12Z : PB = 344596480 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:12Z : PB = 344596480 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:12Z : PB = 344596480 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:12Z : PB = 344596480 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:12Z : PB = 344596480 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:12Z : PB = 344596480 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:12Z : PB = 344596480 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:12Z : PB = 344596480 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:12Z : PB = 343150592 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:12Z : PB = 343150592 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:12Z : PB = 343150592 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:12Z : PB = 343150592 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:12Z : PB = 343150592 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:12Z : PB = 343150592 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:12Z : PB = 343150592 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:12Z : PB = 343150592 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:12Z : PB = 344006656 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:12Z : PB = 344006656 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:12Z : PB = 344006656 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:12Z : PB = 344006656 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:12Z : PB = 344006656 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:12Z : PB = 344006656 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:12Z : PB = 344006656 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:12Z : PB = 344006656 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:12Z : PB = 345088000 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:12Z : PB = 345088000 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:12Z : PB = 345088000 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:12Z : PB = 345088000 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:12Z : PB = 345088000 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:12Z : PB = 345088000 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:12Z : PB = 345088000 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:12Z : PB = 345088000 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:13Z : PB = 343379968 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:13Z : PB = 343379968 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:13Z : PB = 343379968 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:13Z : PB = 343379968 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:13Z : PB = 343379968 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:13Z : PB = 343379968 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:13Z : PB = 343379968 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:13Z : PB = 343379968 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:13Z : PB = 343613440 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:13Z : PB = 343613440 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:13Z : PB = 343613440 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:13Z : PB = 343613440 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:13Z : PB = 343613440 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:13Z : PB = 344469504 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:13Z : PB = 344469504 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:13Z : PB = 344469504 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:13Z : PB = 345071616 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:13Z : PB = 345071616 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:13Z : PB = 344842240 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:13Z : PB = 344842240 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:13Z : PB = 344842240 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:13Z : PB = 344842240 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:13Z : PB = 344842240 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:13Z : PB = 344842240 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:13Z : PB = 343416832 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:13Z : PB = 343416832 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:13Z : PB = 343416832 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:13Z : PB = 343416832 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:13Z : PB = 343416832 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:13Z : PB = 343416832 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:13Z : PB = 343416832 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:13Z : PB = 343416832 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:13Z : PB = 343842816 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:13Z : PB = 343908352 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:13Z : PB = 343908352 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:13Z : PB = 343908352 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:13Z : PB = 343908352 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:13Z : PB = 343908352 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:13Z : PB = 343908352 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:13Z : PB = 343908352 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:13Z : PB = 344207360 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:13Z : PB = 344207360 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:13Z : PB = 344207360 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:13Z : PB = 344207360 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:13Z : PB = 344207360 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:13Z : PB = 344866816 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:13Z : PB = 344866816 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:13Z : PB = 344866816 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:13Z : PB = 345059328 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:13Z : PB = 345059328 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:13Z : PB = 345059328 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:13Z : PB = 345059328 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:13Z : PB = 345059328 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:13Z : PB = 343449600 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:13Z : PB = 343449600 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:13Z : PB = 343449600 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:14Z : PB = 344506368 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:14Z : PB = 344506368 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:14Z : PB = 344506368 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:14Z : PB = 344506368 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:14Z : PB = 344506368 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:14Z : PB = 344506368 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:14Z : PB = 344506368 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:14Z : PB = 344506368 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:14Z : PB = 343154688 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:14Z : PB = 343384064 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:14Z : PB = 343384064 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:14Z : PB = 343154688 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:14Z : PB = 343154688 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:14Z : PB = 343154688 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:14Z : PB = 343154688 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:14Z : PB = 343154688 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:14Z : PB = 342564864 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:14Z : PB = 342564864 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:14Z : PB = 342564864 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:14Z : PB = 342564864 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:14Z : PB = 342564864 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:14Z : PB = 342564864 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:14Z : PB = 342564864 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:14Z : PB = 342564864 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:14Z : PB = 343162880 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:14Z : PB = 343162880 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:14Z : PB = 343162880 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:14Z : PB = 343162880 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:14Z : PB = 343162880 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:14Z : PB = 343162880 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:14Z : PB = 343162880 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:14Z : PB = 343162880 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:53:14Z : PB = 343420928 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:53:14Z : PB = 343420928 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:53:14Z : PB = 343420928 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:53:14Z : PB = 343420928 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:53:14Z : PB = 343420928 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:53:14Z : PB = 343420928 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:53:14Z : PB = 343420928 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:53:14Z : PB = 343420928 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
